Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Singapore,230.22,320.72,408.3,"1,000.18","1,855.49","2,272.81",622.53,656.83,903.3,724.65
Sint Maarten,"175,102.71","219,383.36","253,648.67","263,197.29","254,494.90","257,420.22","224,188.74","209,004.45","236,323.90","272,657.42"
Slovak Republic,0,0.04,2.72,0.13,10.99,31.32,22.31,55.4,120.75,107.61
Slovenia,"51,158.23","61,436.77","74,912.78","76,938.54","80,489.16","81,439.76","71,819.60","75,184.75","81,939.78","91,214.68"
Solomon Islands,"21,230.16","24,476.98","29,566.46","27,924.98","30,160.37","32,870.25","28,630.23","29,965.61","33,805.09","38,243.26"
Somalia,279.88,413.82,614.13,694.09,674.8,705.3,722.36,613.38,836.72,911.27
South Africa,290.27,377.02,504.83,492.02,676.15,641.67,716.73,675.26,467.7,546.95
"South Sudan, Rep. of","87,435.64","102,370.04","141,677.73","147,405.62","144,668.87","140,583.43","103,814.24","105,387.53","114,346.82","127,253.64"
Spain,0,0,274.96,147.47,"2,459.38","4,330.14","2,324.62","1,458.37","1,334.48","1,661.38"
Sri Lanka,"216,189.36","241,981.73","283,302.45","278,437.41","291,008.48","300,337.62","268,943.99","274,035.22","305,139.92","329,197.43"
St. Kitts and Nevis,"7,187.34","8,182.00","9,909.37","9,893.41","10,152.21","10,871.79","10,712.52","10,240.88","10,884.89","11,674.91"
St. Lucia,97.65,86.09,99.64,104.65,120.01,134.3,119.65,93.54,135.17,102.56
St. Vincent & Grens.,214.38,99.55,68.18,119.3,121.56,217.18,187.61,157.39,128.4,110.51
Sudan,259.99,155.51,112.68,77.85,80.12,96.57,59.27,222.73,221.16,199.4
Suo Tom Principe,"6,666.23","9,193.02","12,944.52","7,056.99","6,284.30","5,710.98","4,016.21","4,103.50","5,090.97","4,099.55"
Suriname,"1,432.61","1,860.27","2,192.36","2,830.68","2,428.40","2,275.97","1,801.03","1,512.48","2,178.12","2,184.78"
Sweden,"134,337.86","155,721.67","184,169.22","175,138.31","172,390.22","171,068.55","145,642.36","141,922.93","156,910.86","170,027.71"
Switzerland,"203,614.20","236,071.10","308,016.63","309,590.81","342,767.97","313,930.10","264,481.21","309,317.44","309,965.23","329,770.51"
Syrian Arab Republic,"9,076.74","11,384.60","10,562.50","2,597.42","1,742.20","1,258.51",984.55,851.61,843.25,912.05
Taiwan Prov.of China,"256,407.34","336,507.60","369,738.70","375,202.29","408,234.98","414,146.99","393,171.15","378,727.91","421,279.28","452,924.83"
Tajikistan,942.17,"1,226.39","1,213.52","1,154.06",964.29,852.49,905.53,910.72,"1,132.06","1,343.02"
Tanzania,"2,891.11","3,574.56","4,792.16","6,041.86","6,223.23","5,976.99","5,840.73","5,867.32","5,977.49","5,511.40"
Thailand,"163,463.16","206,979.47","232,351.59","239,451.16","237,565.23","242,475.75","233,384.17","238,420.30","255,598.69","272,529.43"
Timor-Leste,102.28,60.85,151.9,"1,060.73",694.85,134.22,322.44,49.04,107.09,81.54
Togo,"1,676.98","1,490.14","2,092.90","2,995.38","3,121.97","3,152.64","2,625.30","2,357.33","3,033.09","3,027.92"
Tonga,13.27,12.12,15.59,13.44,12.84,13.09,11.33,14.54,16.01,12.07
Trinidad and Tobago,"12,570.06","14,899.13","19,915.80","19,983.24","19,719.59","19,129.36","12,792.31","8,754.25","10,124.65","12,843.92"
Tunisia,"14,746.12","16,386.48","17,337.25","16,629.79","17,377.37","16,644.05","14,052.79","13,742.98","14,230.07","16,193.43"
Turkey,"99,621.46","115,704.78","136,982.51","156,492.20","156,436.41","161,301.52","148,313.00","147,794.73","163,663.99","178,924.97"
Turkmenistan,"2,784.34","2,890.41","7,569.89","10,203.98","11,751.12","12,103.00","10,137.96","8,161.61","8,062.85","9,546.21"
Tuvalu,1.79,3.39,5.02,23.53,7.3,6.17,5.16,3.39,3.57,13.66
U.S.S.R.,0,0.03,0.02,0.01,0,0,0,0,0,0
Uganda,"1,203.87","1,391.71","1,706.98","1,801.19","1,798.75","1,959.19","1,893.04","2,031.38","2,758.77","3,488.83"
Ukraine,"45,993.21","57,048.45","74,624.37","75,079.19","68,292.95","60,481.58","44,741.20","39,608.04","47,538.06","53,634.26"
United Arab Emirates,"116,780.51","170,984.12","226,049.90","257,451.93","253,036.56","231,998.17","171,998.55","171,308.59","191,580.68","213,953.63"
United Kingdom,"359,129.61","401,475.77","463,110.03","463,874.06","526,038.81","483,774.22","430,271.64","394,850.89","427,263.85","475,356.78"
United States,"1,031,116.37","1,226,471.20","1,435,486.14","1,508,068.83","1,520,605.67","1,562,017.86","1,448,440.18","1,389,568.65","1,501,466.64","1,636,919.18"
Uruguay,"6,851.14","8,829.48","9,939.42","10,971.25","11,259.46","11,591.21","10,174.22","9,150.66","10,269.91","10,755.20"
Uzbekistan,"6,000.49","7,129.03","6,896.93","6,301.21","8,509.16","7,314.86","6,847.32","8,838.30","10,858.30","11,010.39"
Vanuatu,253.62,570.79,731.82,452.66,380.32,470.88,278.2,281.85,261.06,273.03
Vatican,1.62,1.94,64.81,8.63,5.15,6.88,2.59,4.33,4.27,4.44
"Venezuela, Rep. Bol.","51,955.54","62,843.13","82,002.21","85,815.96","79,199.71","71,143.34","38,187.06","29,205.40","32,172.53","34,183.65"
Vietnam,"60,622.81","75,564.77","97,823.27","128,987.79","151,798.22","169,477.29","184,308.90","211,367.40","257,947.37","287,621.29"
West Bank and Gaza,62.98,111.86,82.96,106.07,104.25,116.78,119.5,110.44,132.57,126.89
"Yemen, Republic of","5,416.36","8,234.38","9,897.62","8,859.47","9,884.39","9,385.35","2,104.44","1,006.03","2,363.74","1,889.56"
"Yugoslavia, SFR",2.8,5.08,1.46,5.75,18.59,4.07,30.56,29.45,0,0
Zambia,"5,380.06","7,722.18","9,839.69","9,755.66","9,901.77","9,537.23","8,180.25","7,968.17","9,175.15","11,236.68"
Zimbabwe,"1,169.01","1,502.86","2,695.35","2,826.91","2,885.45","2,818.59","2,563.17","2,271.69","2,601.73","3,520.01"
